osmid,name,amenity,city,district,street,housenumber,lat,lon
w25475925,10-я городская поликлиника,hospital,Минск,Фрунзенский район,,,w25475925,53.8860318872388
n3208636881,Государственное училище олимпийского резерва,college,Минск,Первомайский район,,,n3208636881,53.9483933
w351854851,СШ №122,school,Минск,Советский район,,,w351854851,53.9545563897613
w25392548,MacDonalds,fast_food,Минск,Фрунзенский район,улица Притыцкого,28,w25392548,53.9103335921763
n2174317950,Столовая,fast_food,Минск,Заводской район,улица Лазо,14,n2174317950,53.8705263
n325994531,,cafe,Минск,Московский район,,,n325994531,53.876333
n1502809645,Столовая велозавода,fast_food,Минск,Ленинский район,Партизанский проспект,,n1502809645,53.8810411
w383066020,2-я городская клиническая больница,hospital,Минск,Ленинский район,,,w383066020,53.8981449611467
n3480887888,Дворик,cafe,Минск,Московский район,,,n3480887888,53.8584244
n3206003003,Интерофицина №8,pharmacy,Минск,Фрунзенский район,,,n3206003003,53.9110544
n2551148321,EPAM cafe,cafe,Минск,Первомайский район,,,n2551148321,53.9267759
w373370618,Городской клинический кожно-венерологический диспансер,hospital,Минск,Московский район,,,w373370618,53.8833079565272
w168500955,д/с №303,kindergarten,Минск,Ленинский район,,,w168500955,53.85723259618
w312493132,Гимназия №37,school,Минск,Фрунзенский район,,,w312493132,53.8831009613761
n4209959615,Пицца и Пиво,cafe,Минск,Ленинский район,,,n4209959615,53.8435618
n4204548390,,cafe,Минск,Московский район,,,n4204548390,53.8443741
n2831767532,Столовая,fast_food,Минск,Ленинский район,,,n2831767532,53.8862531
r21713,8-я городская детская поликлиника,hospital,Минск,Московский район,улица Сергея Есенина,66,r21713,53.8570861871743
n305680130,Партнер,pharmacy,Минск,Центральный район,,,n305680130,53.9217819
n3696753882,Буфет,cafe,Минск,Советский район,,,n3696753882,53.9123057
w384591990,СШ №131,school,Минск,Заводской район,,,w384591990,53.8378628299017
n1870460829,Столовая №2,cafe,Минск,Ленинский район,,,n1870460829,53.8981915
n2184355618,Баржа,cafe,Минск,Центральный район,улица Троицкая набережная,,n2184355618,53.9072895
w438421347,д/с №197,kindergarten,Минск,Партизанский район,,,w438421347,53.9133161551855
n2378052695,Piaffer,restaurant,Минск,Фрунзенский район,,,n2378052695,53.900822
n1244183062,Perfetto,restaurant,Минск,Московский район,,,n1244183062,53.9018197
w330215579,д/с №503,kindergarten,Минск,Центральный район,,,w330215579,53.9315588376436
